"filename", "language", "JSON", "CSS", "PHP", "Markdown", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 0, 22, 67
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Console/Commands/RemoveExpiredFeaturedJobs.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 14, 8, 41
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Console/Kernel.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 7, 7, 30
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Exceptions/Handler.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 9, 5, 31
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/AccountController.php", "PHP", 0, 0, 509, 0, 0, 0, 0, 107, 177, 793
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/Admin/CategoryController.php", "PHP", 0, 0, 50, 0, 0, 0, 0, 11, 14, 75
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/Admin/DashboardController.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 1, 7, 60
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/Admin/JobApplicationController.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 1, 12, 38
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/Admin/JobController.php", "PHP", 0, 0, 170, 0, 0, 0, 0, 125, 88, 383
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/Admin/JobTypeController.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 0, 15, 63
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/Admin/UserController.php", "PHP", 0, 0, 119, 0, 0, 0, 0, 9, 41, 169
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/Controller.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/CvController.php", "PHP", 0, 0, 165, 0, 0, 0, 0, 5, 35, 205
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/HomeController.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 1, 16, 45
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/JobsController.php", "PHP", 0, 0, 181, 0, 0, 0, 0, 98, 107, 386
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/PaymentController.php", "PHP", 0, 0, 136, 0, 0, 0, 0, 0, 37, 173
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/ReviewController.php", "PHP", 0, 0, 91, 0, 0, 0, 0, 11, 35, 137
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Controllers/company 12-54-38-089/CompanyAccountController.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 1, 4, 12
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Kernel.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 21, 7, 71
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/Authenticate.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 3, 4, 18
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/CheckAdmin.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 7, 7, 33
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/EncryptCookies.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 6, 4, 18
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/PreventRequestsDuringMaintenance.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 6, 4, 18
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/RedirectIfAuthenticated.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 5, 6, 31
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/RoleMiddleware.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 1, 5, 21
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/TrimStrings.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 5, 4, 20
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/TrustHosts.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 5, 4, 21
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/TrustProxies.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 10, 5, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/ValidateSignature.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 11, 4, 23
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Http/Middleware/VerifyCsrfToken.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 6, 4, 18
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Mail/JobNotificationEmail.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 14, 9, 56
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Mail/ResetPasswordEmail.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 14, 7, 54
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/Category.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 1, 4, 12
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/Cv.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/JobApplication.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/JobType.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 7, 19
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/Notification.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/Payment.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 2, 12, 43
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/Review.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 14, 33
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/ReviewReply.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/SavedJob.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/User.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 15, 11, 60
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/job.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 15, 47
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/AppServiceProvider.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 7, 6, 27
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/AuthServiceProvider.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 11, 5, 27
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/BroadcastServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 3, 5, 20
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/EventServiceProvider.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 12, 6, 39
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/RouteServiceProvider.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 10, 7, 41
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/bootstrap/app.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 30, 9, 56
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/composer.json", "JSON", 70, 0, 0, 0, 0, 0, 0, 0, 1, 71
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/composer.lock", "JSON", 9025, 0, 0, 0, 0, 0, 0, 0, 1, 9026
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/app.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 131, 31, 189
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/auth.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 74, 14, 116
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/broadcasting.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 23, 13, 72
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/cache.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 34, 19, 112
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/cors.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 29, 3, 35
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/database.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 47, 22, 152
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/filesystems.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 32, 13, 77
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/hashing.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 32, 9, 55
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/logging.php", "PHP", 0, 0, 79, 0, 0, 0, 0, 34, 19, 132
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/mail.php", "PHP", 0, 0, 61, 0, 0, 0, 0, 54, 20, 135
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/queue.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 42, 17, 110
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/sanctum.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 53, 14, 84
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/services.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 11, 7, 35
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/session.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 157, 35, 215
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/view.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 20, 7, 37
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/factories/CategoryFactory.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 8, 4, 24
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/factories/JobTypeFactory.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 8, 4, 24
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/factories/UserFactory.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 14, 6, 45
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 6, 4, 36
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 6, 4, 33
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 6, 4, 34
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_10_052826_alter_users_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_27_063648_create_categories_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_27_063802_create_job_types_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_27_063832_create_jobs_table.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 6, 5, 44
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_27_111827_alter_jobs_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 8, 35
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_28_042002_alter_jobs_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 6, 32
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_01_22_123754_create_job_applications_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 4, 32
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_03_03_035534_create_saved_jobs_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 3, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_03_08_055235_update_role_column_in_users_table.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_03_19_033118_add_is_active_to_users_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 5, 27
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_03_130455_create_cvs_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 7, 5, 37
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_04_020119_add_cv_file_path_to_cvs_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_04_020350_add_cv_file_path_to_job_applications_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_07_021215_add_fields_to_cvs_table.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_08_122454_create_notifications_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_12_080357_add_pan_and_is_approved_to_users_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 3, 5, 28
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_12_145854_add_featured_request_to_jobs_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 5, 27
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_14_022201_create_payments_table.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_17_141831_add_featured_until_to_jobs_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 7, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_21_090723_remove_tidx_from_payments_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 6, 28
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_21_125540_create_reviews_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 6, 4, 33
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_23_085853_add_reply_to_reviews_table.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 7, 4, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_23_090454_create_review_replies_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 5, 32
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/seeders/DatabaseSeeder.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 9, 7, 27
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/package.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/phpunit.xml", "XML", 0, 0, 0, 0, 0, 30, 0, 2, 1, 33
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/css/slick-theme.css", "CSS", 0, 170, 0, 0, 0, 0, 0, 4, 31, 205
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/css/slick.css", "CSS", 0, 104, 0, 0, 0, 0, 0, 1, 15, 120
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/css/style.css", "CSS", 0, 9951, 0, 0, 0, 0, 0, 86, 2, 10039
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/css/style.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/css/video-js.css", "CSS", 0, 1535, 0, 0, 0, 0, 0, 6, 238, 1779
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/fontello/fontello.svg", "XML", 0, 0, 0, 0, 0, 58, 0, 0, 47, 105
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/inter/demo.html", "HTML", 0, 0, 0, 0, 0, 0, 1003, 0, 31, 1034
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/inter/stylesheet.css", "CSS", 0, 330, 0, 0, 0, 0, 0, 0, 31, 361
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-Black.svg", "XML", 0, 0, 0, 0, 0, 3953, 0, 0, 1, 3954
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-BlackItalic.svg", "XML", 0, 0, 0, 0, 0, 4454, 0, 0, 1, 4455
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-Bold.svg", "XML", 0, 0, 0, 0, 0, 4001, 0, 0, 1, 4002
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-BoldItalic.svg", "XML", 0, 0, 0, 0, 0, 4028, 0, 0, 1, 4029
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-Book.svg", "XML", 0, 0, 0, 0, 0, 4072, 0, 0, 1, 4073
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-BookItalic.svg", "XML", 0, 0, 0, 0, 0, 4156, 0, 0, 1, 4157
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-ExtraLight.svg", "XML", 0, 0, 0, 0, 0, 4072, 0, 0, 1, 4073
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-ExtraLightItalic.svg", "XML", 0, 0, 0, 0, 0, 4161, 0, 0, 1, 4162
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-Heavy.svg", "XML", 0, 0, 0, 0, 0, 4317, 0, 0, 1, 4318
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-HeavyItalic.svg", "XML", 0, 0, 0, 0, 0, 4456, 0, 0, 1, 4457
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-Light.svg", "XML", 0, 0, 0, 0, 0, 4072, 0, 0, 1, 4073
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-LightItalic.svg", "XML", 0, 0, 0, 0, 0, 4161, 0, 0, 1, 4162
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-Regular.svg", "XML", 0, 0, 0, 0, 0, 4056, 0, 0, 1, 4057
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-RegularItalic.svg", "XML", 0, 0, 0, 0, 0, 4158, 0, 0, 1, 4159
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-SemiBold.svg", "XML", 0, 0, 0, 0, 0, 4006, 0, 0, 1, 4007
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-SemiBoldItalic.svg", "XML", 0, 0, 0, 0, 0, 4028, 0, 0, 1, 4029
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-Thin.svg", "XML", 0, 0, 0, 0, 0, 4070, 0, 0, 1, 4071
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/mont/Mont-ThinItalic.svg", "XML", 0, 0, 0, 0, 0, 3992, 0, 0, 1, 3993
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/fonts/slick/slick.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/js/bootstrap.bundle.5.1.3.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/js/custom.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 4, 7
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/js/instantpages.5.1.0.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/js/jquery-3.6.0.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/js/lazyload.17.6.0.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/js/lightbox.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/public/assets 12.16.46/js/masonry.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 7, 1, 9
